# scorer=cert K=3 N=300 M=1200 seed=3 r=0.9 theta=0 veto=0 dynamic_I_backtrack=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1200,4.348830189,0.01449610063,48,0,1,0
1,back,299,1198,4.348954656,0.01449651552,0,0,1,1
2,dec,300,1200,4.348533729,0.01449511243,0,0,1,0
3,back,299,1192,4.34874199,0.01449580663,0,0,1,1
4,dec,300,1200,4.34868383,0.01449561277,0,0,1,0
5,back,299,1198,4.34864149,0.01449547163,0,0,1,1
6,dec,300,1200,4.348714311,0.01449571437,0,0,1,0
7,back,299,1192,4.348635688,0.01449545229,0,0,1,1
8,dec,300,1200,4.348704227,0.01449568076,0,0,1,0
9,back,299,1198,4.348687641,0.01449562547,0,0,1,1
10,dec,300,1200,4.348695577,0.01449565192,0,0,1,0
11,back,299,1192,4.34871077,0.01449570257,0,0,1,1
12,dec,300,1200,4.348684208,0.01449561403,0,0,1,0
13,back,299,1198,4.348693785,0.01449564595,0,0,1,1
14,dec,300,1200,4.348686631,0.0144956221,0,0,1,0
15,back,299,1192,4.348686673,0.01449562224,0,0,1,1
16,dec,300,1200,4.34869389,0.0144956463,0,0,1,0
17,dec,299,1198,4.348686455,0.01449562152,0,0,1,1
18,back,298,1190,4.348690127,0.01449563376,0,0,1,2
19,dec,299,1192,4.348688615,0.01449562872,0,0,1,1
20,back,298,1190,4.348688886,0.01449562962,0,0,1,2
21,dec,299,1192,4.348691481,0.01449563827,0,0,1,1
22,back,298,1190,4.348689175,0.01449563058,0,0,1,2
23,dec,299,1192,4.348690494,0.01449563498,0,0,1,1
24,back,298,1190,4.348689458,0.01449563153,0,0,1,2
25,dec,299,1192,4.348689367,0.01449563122,0,0,1,1
26,back,298,1190,4.348689931,0.0144956331,0,0,1,2
27,dec,299,1192,4.348689385,0.01449563128,0,0,1,1
28,back,298,1190,4.348689828,0.01449563276,0,0,1,2
29,dec,299,1192,4.34868963,0.0144956321,0,0,1,1
30,back,298,1190,4.348689556,0.01449563185,0,0,1,2
31,dec,299,1192,4.348689757,0.01449563252,0,0,1,1
32,back,298,1190,4.348689565,0.01449563188,0,0,1,2
33,dec,299,1192,4.348689747,0.01449563249,0,0,1,1
34,back,298,1190,4.348689659,0.0144956322,0,0,1,2
35,dec,299,1192,4.348689647,0.01449563216,0,0,1,1
36,dec,298,1190,4.348689683,0.01449563228,0,0,1,2
37,back,297,1185,4.33952978,0.01446509927,2,0,0.9909019227,3
38,dec,298,1190,4.348729885,0.01449576628,2,0,0.9909019227,2
39,back,297,1185,4.339572861,0.01446524287,2,0,0.9908548976,3
40,dec,298,1190,4.348777744,0.01449592581,2,0,0.9908548976,2
41,back,297,1185,4.339596139,0.01446532046,2,0,0.9908363638,3
42,dec,298,1190,4.348786574,0.01449595525,2,0,0.9908363638,2
43,back,297,1185,4.339600487,0.01446533496,2,0,0.9908357245,3
44,dec,298,1190,4.348786834,0.01449595611,2,0,0.9908357245,2
45,back,297,1185,4.339601621,0.01446533874,2,0,0.9908357245,3
46,dec,298,1190,4.348789705,0.01449596568,2,0,0.9908357245,2
47,back,297,1185,4.339602398,0.01446534133,2,0,0.9908357245,3
48,dec,298,1190,4.348789776,0.01449596592,2,0,0.9908357245,2
49,back,297,1185,4.339602111,0.01446534037,2,0,0.9908357245,3
50,dec,298,1190,4.348789532,0.01449596511,2,0,0.9908357245,2
51,back,297,1185,4.339601905,0.01446533968,2,0,0.9908357245,3
52,dec,298,1190,4.348789157,0.01449596386,2,0,0.9908357245,2
53,back,297,1185,4.339601749,0.01446533916,2,0,0.9908357245,3
54,dec,298,1190,4.348789204,0.01449596401,2,0,0.9908357245,2
55,dec,297,1185,4.339601774,0.01446533925,2,0,0.9908357245,3
56,back,296,1180,4.328820092,0.01442940031,2,0,0.9893234017,4
57,dec,297,1185,4.339537868,0.01446512623,2,0,0.9893234017,3
58,back,296,1180,4.328856648,0.01442952216,2,0,0.9893234017,4
59,dec,297,1185,4.339573677,0.01446524559,2,0,0.9893234017,3
60,back,296,1180,4.328847565,0.01442949188,2,0,0.9893234017,4
61,dec,297,1185,4.339581722,0.01446527241,2,0,0.9893234017,3
62,back,296,1180,4.328855366,0.01442951789,2,0,0.9893234017,4
63,dec,297,1185,4.339578785,0.01446526262,2,0,0.9893234017,3
64,back,296,1180,4.328857903,0.01442952634,2,0,0.9893234017,4
65,dec,297,1185,4.339579535,0.01446526512,2,0,0.9893234017,3
66,back,296,1180,4.32885599,0.01442951997,2,0,0.9893234017,4
67,dec,297,1185,4.339580547,0.01446526849,2,0,0.9893234017,3
68,back,296,1180,4.328856027,0.01442952009,2,0,0.9893234017,4
69,dec,297,1185,4.339580052,0.01446526684,2,0,0.9893234017,3
70,back,296,1180,4.328856912,0.01442952304,2,0,0.9893234017,4
71,dec,297,1185,4.33958034,0.0144652678,2,0,0.9893234017,3
72,back,296,1180,4.328856836,0.01442952279,2,0,0.9893234017,4
73,dec,297,1185,4.339580508,0.01446526836,2,0,0.9893234017,3
74,dec,296,1180,4.328856813,0.01442952271,2,0,0.9893234017,4
75,back,295,1168,4.31792946,0.0143930982,2,0,0.9889266705,5
76,dec,296,1180,4.328803198,0.01442934399,2,0,0.9889266705,4
77,back,295,1168,4.317928052,0.01439309351,2,0,0.9889266705,5
78,dec,296,1180,4.32884099,0.01442946997,2,0,0.9889266705,4
79,back,295,1168,4.317909872,0.01439303291,2,0,0.9889266705,5
80,dec,296,1180,4.328834398,0.01442944799,2,0,0.9889266705,4
81,back,295,1168,4.317911509,0.01439303836,2,0,0.9889266705,5
82,dec,296,1180,4.328828145,0.01442942715,2,0,0.9889266705,4
83,back,295,1168,4.317909529,0.01439303176,2,0,0.9889266705,5
84,dec,296,1180,4.328829622,0.01442943207,2,0,0.9889266705,4
85,back,295,1168,4.317909044,0.01439303015,2,0,0.9889266705,5
86,dec,296,1180,4.328830597,0.01442943532,2,0,0.9889266705,4
87,back,295,1168,4.317909052,0.01439303017,2,0,0.9889266705,5
88,dec,296,1180,4.328829774,0.01442943258,2,0,0.9889266705,4
89,back,295,1168,4.317909093,0.01439303031,2,0,0.9889266705,5
90,dec,296,1180,4.328829686,0.01442943229,2,0,0.9889266705,4
91,back,295,1168,4.317908885,0.01439302962,2,0,0.9889266705,5
92,dec,296,1180,4.328829669,0.01442943223,2,0,0.9889266705,4
93,dec,295,1168,4.317908785,0.01439302928,2,0,0.9889266705,5
94,back,294,1157,4.305822419,0.0143527414,2,0,0.9880944599,6
95,dec,295,1168,4.317795163,0.01439265054,2,0,0.9880944599,5
96,back,294,1157,4.305650734,0.01435216911,2,0,0.9880944599,6
97,dec,295,1168,4.317958632,0.01439319544,1,0,0.9880944599,5
98,back,294,1157,4.305898978,0.01435299659,1,0,0.9880827333,6
99,dec,295,1168,4.317987168,0.01439329056,1,0,0.9880827333,5
100,back,294,1157,4.30581843,0.0143527281,1,0,0.9879655104,6
101,dec,295,1168,4.317969305,0.01439323102,1,0,0.9879655104,5
102,back,294,1157,4.305881917,0.01435293972,1,0,0.9878895079,6
103,dec,295,1168,4.318010922,0.01439336974,1,0,0.9878895079,5
104,back,294,1157,4.305890747,0.01435296916,1,0,0.9878895079,6
105,dec,295,1168,4.318009297,0.01439336432,1,0,0.9878895079,5
106,back,294,1157,4.305889731,0.01435296577,1,0,0.9878895079,6
107,dec,295,1168,4.318020213,0.01439340071,1,0,0.9878895079,5
108,back,294,1157,4.305895038,0.01435298346,1,0,0.9878895079,6
109,dec,295,1168,4.318018896,0.01439339632,1,0,0.9878895079,5
110,back,294,1157,4.305891401,0.01435297134,1,0,0.9878895079,6
111,dec,295,1168,4.318016684,0.01439338895,1,0,0.9878895079,5
112,dec,294,1157,4.305892619,0.0143529754,1,0,0.9878895079,6
113,back,293,1155,4.293729645,0.01431243215,3,0,0.9878895079,7
114,dec,294,1166,4.305847451,0.01435282484,2,0,0.9878895079,6
115,back,293,1155,4.293557682,0.01431185894,1,0,0.9878895079,7
116,dec,294,1166,4.305904796,0.01435301599,1,0,0.9878895079,6
117,back,293,1155,4.29383182,0.01431277273,1,0,0.9878895079,7
118,dec,294,1166,4.305819326,0.01435273109,1,0,0.9878895079,6
119,back,293,1155,4.293740335,0.01431246778,1,0,0.9878895079,7
120,dec,294,1166,4.305891992,0.01435297331,1,0,0.9878895079,6
121,back,293,1155,4.293812561,0.01431270854,1,0,0.9878895079,7
122,dec,294,1166,4.305905756,0.01435301919,1,0,0.9878895079,6
123,back,293,1155,4.293822146,0.01431274049,1,0,0.9878895079,7
124,dec,294,1166,4.305907541,0.01435302514,1,0,0.9878895079,6
125,back,293,1155,4.293818979,0.01431272993,1,0,0.9878895079,7
126,dec,294,1166,4.305912759,0.01435304253,1,0,0.9878895079,6
127,back,293,1155,4.29382194,0.0143127398,1,0,0.9878895079,7
128,dec,294,1166,4.305906304,0.01435302101,1,0,0.9878895079,6
129,back,293,1155,4.293818608,0.01431272869,1,0,0.9878895079,7
130,dec,294,1166,4.305907703,0.01435302568,1,0,0.9878895079,6
131,dec,293,1155,4.293817014,0.01431272338,1,0,0.9878895079,7
132,back,292,1148,4.279815173,0.01426605058,2,0,0.9862662913,8
133,dec,293,1155,4.293908417,0.01431302806,2,0,0.9862662913,7
134,back,292,1148,4.279830905,0.01426610302,2,0,0.9862504632,8
135,dec,293,1155,4.293882141,0.01431294047,2,0,0.9862504632,7
136,back,292,1148,4.279931025,0.01426643675,2,0,0.9862339686,8
137,dec,293,1155,4.293961504,0.01431320501,2,0,0.9862339686,7
138,back,292,1148,4.279967929,0.01426655976,2,0,0.9862339686,8
139,dec,293,1155,4.293975681,0.01431325227,2,0,0.9862339686,7
140,back,292,1148,4.279991338,0.01426663779,2,0,0.9862339686,8
141,dec,293,1155,4.29398432,0.01431328107,2,0,0.9862339686,7
142,back,292,1148,4.279987808,0.01426662603,2,0,0.9862339686,8
143,dec,293,1155,4.293985626,0.01431328542,2,0,0.9862339686,7
144,back,292,1148,4.279990359,0.01426663453,2,0,0.9862339686,8
145,dec,293,1155,4.293986987,0.01431328996,2,0,0.9862339686,7
146,back,292,1148,4.279990671,0.01426663557,2,0,0.9862339686,8
147,dec,293,1155,4.293985847,0.01431328616,2,0,0.9862339686,7
148,back,292,1148,4.279990116,0.01426663372,2,0,0.9862339686,8
149,dec,293,1155,4.293986372,0.01431328791,2,0,0.9862339686,7
150,dec,292,1148,4.279990335,0.01426663445,2,0,0.9862339686,8
151,back,291,1138,4.26446121,0.0142148707,1,0,0.9850595171,9
152,dec,292,1148,4.279663159,0.01426554386,1,0,0.9850595171,8
153,back,291,1138,4.264480036,0.01421493345,2,0,0.9848748951,9
154,dec,292,1148,4.279697996,0.01426565999,3,0,0.9848748951,8
155,back,291,1138,4.264369202,0.01421456401,1,0,0.9848748951,9
156,dec,292,1148,4.279787156,0.01426595719,1,0,0.9848748951,8
157,back,291,1138,4.264350403,0.01421450134,2,0,0.9848707268,9
158,dec,292,1148,4.279600765,0.01426533588,2,0,0.9848707268,8
