# scorer=cert K=3 N=300 M=1245 seed=2 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 temp=0 shortlist=10 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1245,1.929637424,0.006432124747,73,0,1,0
1,back,299,1240,1.929329745,0.006431099149,0,0,1,1
2,dec,300,1245,1.929425917,0.006431419725,0,0,1,0
3,back,299,1239,1.929492739,0.006431642462,0,0,1,1
4,dec,300,1245,1.929262628,0.006430875425,0,0,1,0
5,back,299,1240,1.929521062,0.006431736875,0,0,1,1
6,dec,300,1245,1.929357381,0.006431191271,0,0,1,0
7,back,299,1239,1.929372367,0.006431241224,0,0,1,1
8,dec,300,1245,1.92937314,0.006431243799,0,0,1,0
9,back,299,1240,1.929389589,0.006431298631,0,0,1,1
10,dec,300,1245,1.929379499,0.006431264996,0,0,1,0
11,back,299,1239,1.929367873,0.006431226244,0,0,1,1
12,dec,300,1245,1.929394322,0.006431314405,0,0,1,0
13,back,299,1240,1.929379279,0.006431264265,0,0,1,1
14,dec,300,1245,1.929371067,0.006431236889,0,0,1,0
15,back,299,1239,1.929394302,0.00643131434,0,0,1,1
16,dec,300,1245,1.929389221,0.006431297404,0,0,1,0
17,dec,299,1240,1.929370692,0.00643123564,0,0,1,1
18,back,298,1235,1.92939294,0.006431309801,0,0,1,2
19,dec,299,1240,1.929385595,0.006431285317,0,0,1,1
20,back,298,1234,1.929379764,0.006431265879,0,0,1,2
21,dec,299,1240,1.929384197,0.006431280656,0,0,1,1
22,back,298,1235,1.929391179,0.006431303931,0,0,1,2
23,dec,299,1240,1.929378805,0.006431262682,0,0,1,1
24,back,298,1234,1.929381717,0.00643127239,0,0,1,2
25,dec,299,1240,1.929390339,0.006431301129,0,0,1,1
26,back,298,1235,1.92938054,0.006431268467,0,0,1,2
27,dec,299,1240,1.929382353,0.006431274509,0,0,1,1
28,back,298,1234,1.929386725,0.006431289082,0,0,1,2
29,dec,299,1240,1.929384169,0.006431280564,0,0,1,1
30,back,298,1235,1.929380762,0.006431269207,0,0,1,2
31,dec,299,1240,1.929386047,0.006431286823,0,0,1,1
32,back,298,1234,1.929385369,0.006431284562,0,0,1,2
33,dec,299,1240,1.929381128,0.006431270426,0,0,1,1
34,back,298,1235,1.92938468,0.006431282266,0,0,1,2
35,dec,299,1240,1.929385785,0.006431285951,0,0,1,1
36,dec,298,1234,1.929382041,0.006431273469,0,0,1,2
37,back,297,1229,1.929383832,0.006431279441,0,0,1,3
38,dec,298,1234,1.929385655,0.006431285517,0,0,1,2
39,back,297,1229,1.929382907,0.006431276356,0,0,1,3
40,dec,298,1234,1.929383282,0.006431277605,0,0,1,2
41,back,297,1229,1.929385249,0.006431284162,0,0,1,3
42,dec,298,1234,1.929383719,0.006431279064,0,0,1,2
43,back,297,1229,1.929383009,0.006431276697,0,0,1,3
44,dec,298,1234,1.92938482,0.006431282732,0,0,1,2
45,back,297,1229,1.92938418,0.0064312806,0,0,1,3
46,dec,298,1234,1.92938307,0.006431276899,0,0,1,2
47,back,297,1229,1.929384384,0.00643128128,0,0,1,3
48,dec,298,1234,1.929384421,0.006431281402,0,0,1,2
49,back,297,1229,1.929383293,0.006431277642,0,0,1,3
50,dec,298,1234,1.929384014,0.006431280046,0,0,1,2
51,back,297,1229,1.92938448,0.006431281599,0,0,1,3
52,dec,298,1234,1.929383563,0.006431278544,0,0,1,2
53,back,297,1229,1.929383784,0.006431279281,0,0,1,3
54,dec,298,1234,1.929384417,0.00643128139,0,0,1,2
55,dec,297,1229,1.92938379,0.006431279302,0,0,1,3
56,back,296,1226,1.929264529,0.006430881765,1,0,0.9998801592,4
57,dec,297,1229,1.929383696,0.006431278987,1,0,0.9998801592,3
58,back,296,1226,1.929264399,0.00643088133,1,0,0.9998801592,4
59,dec,297,1229,1.929383987,0.006431279957,1,0,0.9998801592,3
60,back,296,1226,1.929264056,0.006430880188,1,0,0.9998801592,4
61,dec,297,1229,1.929384098,0.006431280328,1,0,0.9998801592,3
62,back,296,1226,1.929264169,0.006430880562,1,0,0.9998801592,4
63,dec,297,1229,1.929384011,0.006431280038,1,0,0.9998801592,3
64,back,296,1226,1.929264321,0.00643088107,1,0,0.9998801592,4
65,dec,297,1229,1.929383913,0.006431279712,1,0,0.9998801592,3
66,back,296,1226,1.929264292,0.006430880974,1,0,0.9998801592,4
67,dec,297,1229,1.929384012,0.006431280039,1,0,0.9998801592,3
68,back,296,1226,1.929264256,0.006430880853,1,0,0.9998801592,4
69,dec,297,1229,1.929384058,0.006431280194,1,0,0.9998801592,3
70,back,296,1226,1.929264235,0.006430880782,1,0,0.9998801592,4
71,dec,297,1229,1.929384009,0.006431280028,1,0,0.9998801592,3
72,back,296,1226,1.929264282,0.006430880941,1,0,0.9998801592,4
73,dec,297,1229,1.929384008,0.006431280027,1,0,0.9998801592,3
74,dec,296,1226,1.929264294,0.006430880979,1,0,0.9998801592,4
75,back,295,1222,1.927785372,0.006425951239,0,0,0.998519651,5
76,dec,296,1226,1.929265304,0.006430884348,0,0,0.998519651,4
77,back,295,1222,1.927786065,0.00642595355,0,0,0.998519651,5
78,dec,296,1226,1.929262724,0.006430875747,0,0,0.998519651,4
79,back,295,1222,1.927783876,0.006425946253,0,0,0.998519651,5
80,dec,296,1226,1.929262856,0.006430876188,0,0,0.998519651,4
81,back,295,1222,1.927786183,0.006425953943,0,0,0.998519651,5
82,dec,296,1226,1.929262801,0.006430876004,0,0,0.998519651,4
83,back,295,1222,1.927787355,0.006425957849,0,0,0.998519651,5
84,dec,296,1226,1.92926291,0.006430876368,0,0,0.998519651,4
85,back,295,1222,1.927788934,0.006425963115,0,0,0.998519651,5
86,dec,296,1226,1.929262821,0.006430876068,0,0,0.998519651,4
87,back,295,1222,1.92778892,0.006425963066,0,0,0.998519651,5
88,dec,296,1226,1.929264197,0.006430880657,0,0,0.998519651,4
89,back,295,1222,1.927788742,0.006425962473,0,0,0.998519651,5
90,dec,296,1226,1.929264635,0.006430882117,0,0,0.998519651,4
91,back,295,1222,1.927790224,0.006425967415,0,0,0.998519651,5
92,dec,296,1226,1.929265419,0.006430884731,0,0,0.998519651,4
93,dec,295,1222,1.927789309,0.006425964364,0,0,0.998519651,5
94,back,294,1214,1.925559818,0.006418532727,1,0,0.9977711202,6
95,dec,295,1222,1.927790161,0.006425967204,1,0,0.9977711202,5
96,back,294,1214,1.925558401,0.006418528003,1,0,0.9977711202,6
97,dec,295,1222,1.927783126,0.006425943753,1,0,0.9977711202,5
98,back,294,1214,1.925554069,0.006418513562,1,0,0.9977711202,6
99,dec,295,1222,1.927781774,0.006425939247,1,0,0.9977711202,5
100,back,294,1214,1.925553411,0.006418511369,1,0,0.9977711202,6
101,dec,295,1222,1.927782464,0.006425941548,1,0,0.9977711202,5
102,back,294,1214,1.925551597,0.006418505324,1,0,0.9977711202,6
103,dec,295,1222,1.927782213,0.006425940712,1,0,0.9977711202,5
104,back,294,1214,1.925551611,0.006418505369,1,0,0.9977711202,6
105,dec,295,1222,1.927783393,0.006425944644,1,0,0.9977711202,5
106,back,294,1214,1.925552214,0.006418507379,1,0,0.9977711202,6
107,dec,295,1222,1.927783798,0.006425945995,1,0,0.9977711202,5
108,back,294,1214,1.92555265,0.006418508833,1,0,0.9977711202,6
109,dec,295,1222,1.927784121,0.006425947069,1,0,0.9977711202,5
110,back,294,1214,1.925553123,0.006418510411,1,0,0.9977711202,6
111,dec,295,1222,1.927784231,0.006425947436,1,0,0.9977711202,5
112,dec,294,1214,1.925553222,0.006418510738,1,0,0.9977711202,6
113,back,293,1204,1.922727431,0.006409091436,1,0,0.9971587802,7
114,dec,294,1214,1.925571125,0.006418570415,1,0,0.9971587802,6
115,back,293,1204,1.922749067,0.006409163557,1,0,0.9971587802,7
116,dec,294,1214,1.925572488,0.006418574959,1,0,0.9971587802,6
117,back,293,1204,1.922729824,0.006409099414,1,0,0.9971587802,7
118,dec,294,1214,1.925557185,0.006418523949,1,0,0.9971587802,6
119,back,293,1204,1.922714035,0.006409046782,1,0,0.9971556045,7
