# scorer=cert K=3 N=300 M=1200 seed=4 r=0.9 theta=0 veto=0 dynamic_I_backtrack=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,300,1200,6.097559656,0.02032519885,40,0,1,0
1,back,299,1193,6.0939059,0.02031301967,2,0,0.9964206612,1
2,dec,300,1200,6.09736159,0.02032453863,2,0,0.9964206612,0
3,back,299,1193,6.093701803,0.02031233934,2,0,0.9963926982,1
4,dec,300,1200,6.097328129,0.0203244271,2,0,0.9963926982,0
5,back,299,1193,6.093686527,0.02031228842,2,0,0.9963926982,1
6,dec,300,1200,6.097309166,0.02032436389,2,0,0.9963926982,0
7,back,299,1193,6.09367698,0.0203122566,2,0,0.9963926982,1
8,dec,300,1200,6.097305443,0.02032435148,2,0,0.9963926982,0
9,back,299,1193,6.093674735,0.02031224912,2,0,0.9963926982,1
10,dec,300,1200,6.097304373,0.02032434791,2,0,0.9963926982,0
11,back,299,1193,6.093674023,0.02031224674,2,0,0.9963926982,1
12,dec,300,1200,6.097304175,0.02032434725,2,0,0.9963926982,0
13,back,299,1193,6.093673867,0.02031224622,2,0,0.9963926982,1
14,dec,300,1200,6.097304137,0.02032434712,2,0,0.9963926982,0
15,back,299,1193,6.093673813,0.02031224604,2,0,0.9963926982,1
16,dec,300,1200,6.097304137,0.02032434712,2,0,0.9963926982,0
17,dec,299,1193,6.093673797,0.02031224599,2,0,0.9963926982,1
18,back,298,1189,6.088713227,0.02029571076,4,0,0.9950761017,2
19,dec,299,1193,6.09365937,0.0203121979,4,0,0.9950761017,1
20,back,298,1189,6.088705617,0.02029568539,4,0,0.9950218045,2
21,dec,299,1193,6.0936609,0.020312203,4,0,0.9950218045,1
22,back,298,1189,6.08870581,0.02029568603,4,0,0.9950143546,2
23,dec,299,1193,6.093661026,0.02031220342,4,0,0.9950143546,1
24,back,298,1189,6.088705791,0.02029568597,4,0,0.9950143546,2
25,dec,299,1193,6.093661092,0.02031220364,4,0,0.9950143546,1
26,back,298,1189,6.088705787,0.02029568596,4,0,0.9950143546,2
27,dec,299,1193,6.093661101,0.02031220367,4,0,0.9950143546,1
28,back,298,1189,6.088705779,0.02029568593,4,0,0.9950143546,2
29,dec,299,1193,6.093661104,0.02031220368,4,0,0.9950143546,1
30,back,298,1189,6.088705777,0.02029568592,4,0,0.9950143546,2
31,dec,299,1193,6.093661106,0.02031220369,4,0,0.9950143546,1
32,back,298,1189,6.088705776,0.02029568592,4,0,0.9950143546,2
33,dec,299,1193,6.093661106,0.02031220369,4,0,0.9950143546,1
