# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 lookahead_k=4 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
138,back,292,1189,2.610762304,0.008702541014,2,0,0.9894496152,8
139,dec,293,1200,2.620562557,0.008735208522,2,0,0.9894496152,7
140,back,292,1189,2.610759077,0.008702530255,2,0,0.9894496152,8
141,dec,293,1200,2.620516552,0.008735055173,2,0,0.9894496152,7
142,back,292,1189,2.610732099,0.00870244033,2,0,0.9894496152,8
143,dec,293,1200,2.620534211,0.008735114036,2,0,0.9894496152,7
144,back,292,1189,2.610756444,0.008702521479,2,0,0.9894496152,8
145,dec,293,1200,2.620550282,0.008735167606,2,0,0.9894496152,7
146,back,292,1189,2.610754897,0.008702516322,2,0,0.9894496152,8
147,dec,293,1200,2.620540188,0.008735133959,2,0,0.9894496152,7
148,back,292,1189,2.610748271,0.008702494235,2,0,0.9894496152,8
149,dec,293,1200,2.620538908,0.008735129695,2,0,0.9894496152,7
150,dec,292,1189,2.610752013,0.008702506712,2,0,0.9894496152,8
151,back,291,1177,2.598442123,0.008661473744,1,0,0.9877591617,9
152,dec,292,1189,2.610804068,0.008702680228,1,0,0.9877591617,8
153,back,291,1177,2.598437269,0.008661457565,1,0,0.9876928197,9
154,dec,292,1189,2.610703497,0.008702344989,2,0,0.9876928197,8
155,back,291,1177,2.59837411,0.008661247034,2,0,0.9876928197,9
156,dec,292,1189,2.610728933,0.008702429776,1,0,0.9876928197,8
157,back,291,1177,2.598251102,0.008660837005,2,0,0.9876928197,9
158,dec,292,1189,2.610833163,0.008702777211,2,0,0.9876928197,8
159,back,291,1177,2.598236034,0.00866078678,1,0,0.9876077106,9
160,dec,292,1189,2.610690577,0.008702301925,2,0,0.9876077106,8
161,back,291,1177,2.598353713,0.008661179043,2,0,0.9876077106,9
162,dec,292,1189,2.610685575,0.008702285249,1,0,0.9876077106,8
163,back,291,1177,2.598463479,0.00866154493,3,0,0.9876077106,9
164,dec,292,1189,2.610706091,0.008702353636,1,0,0.9876077106,8
165,back,291,1177,2.598308198,0.008661027325,1,0,0.9876077106,9
166,dec,292,1189,2.610668944,0.008702229814,2,0,0.9876077106,8
167,back,291,1177,2.598320889,0.008661069629,2,0,0.9876077106,9
168,dec,292,1189,2.610729164,0.008702430546,1,0,0.9876077106,8
169,dec,291,1177,2.598231924,0.008660773081,2,0,0.9876077106,9
170,back,290,1170,2.585487726,0.00861829242,2,0,0.9873835519,10
171,dec,291,1177,2.598338324,0.008661127747,2,0,0.9873835519,9
172,back,290,1170,2.585498682,0.00861832894,2,0,0.9872744386,10
173,dec,291,1177,2.598294849,0.008660982831,2,0,0.9872744386,9
174,back,290,1170,2.585477426,0.008618258088,2,0,0.9871899652,10
175,dec,291,1177,2.598278085,0.008660926949,2,0,0.9871899652,9
176,back,290,1170,2.585441507,0.008618138356,2,0,0.9871648619,10
177,dec,291,1177,2.598270628,0.008660902092,2,0,0.9871648619,9
178,back,290,1170,2.58543912,0.008618130401,2,0,0.9871509909,10
179,dec,291,1177,2.598267792,0.00866089264,2,0,0.9871509909,9
180,back,290,1170,2.585435957,0.008618119858,2,0,0.9871509909,10
