# scorer=cert K=3 N=1000 M=4150 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=hybrid eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,4150,9.533499584,0.009533499584,60,0,1,0
1,back,999,4146,9.53382029,0.00953382029,1,0,1,1
2,dec,1000,4150,9.532857609,0.009532857609,0,0,1,0
3,back,999,4146,9.533197475,0.009533197475,0,0,1,1
4,dec,1000,4150,9.532798678,0.009532798678,0,0,1,0
5,back,999,4141,9.533222268,0.009533222268,1,0,0.9999458187,1
6,dec,1000,4150,9.533202863,0.009533202863,1,0,0.9999458187,0
7,back,999,4141,9.533080261,0.009533080261,1,0,0.9999450747,1
8,dec,1000,4150,9.533221915,0.009533221915,1,0,0.9999450747,0
9,back,999,4141,9.533149918,0.009533149918,0,0,0.9999450747,1
10,dec,1000,4150,9.533155538,0.009533155538,0,0,0.9999450747,0
11,back,999,4141,9.533113857,0.009533113857,0,0,0.9999450747,1
12,dec,1000,4150,9.533090803,0.009533090803,0,0,0.9999450747,0
13,back,999,4146,9.533137873,0.009533137873,0,0,0.9999450747,1
14,dec,1000,4150,9.533148982,0.009533148982,0,0,0.9999450747,0
15,back,999,4141,9.533151093,0.009533151093,0,0,0.9999450747,1
16,dec,1000,4150,9.533133667,0.009533133667,0,0,0.9999450747,0
17,dec,999,4141,9.533124178,0.009533124178,0,0,0.9999450747,1
18,back,998,4137,9.533119988,0.009533119988,0,0,0.9999450747,2
19,dec,999,4141,9.533141158,0.009533141158,0,0,0.9999450747,1
20,back,998,4137,9.533136392,0.009533136392,0,0,0.9999450747,2
21,dec,999,4141,9.53314025,0.00953314025,0,0,0.9999450747,1
22,back,998,4137,9.533132891,0.009533132891,0,0,0.9999450747,2
23,dec,999,4141,9.533127328,0.009533127328,0,0,0.9999450747,1
24,back,998,4137,9.533132179,0.009533132179,0,0,0.9999450747,2
25,dec,999,4141,9.533133166,0.009533133166,0,0,0.9999450747,1
26,back,998,4137,9.533137364,0.009533137364,0,0,0.9999450747,2
