# scorer=cert K=4 N=1000 M=9500 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed
0,dec,1000,9500,24.82573765,0.02482573765,33,0,1,0
1,back,999,9465,24.82151856,0.02482151856,0,0,0.9956695367,1
2,dec,1000,9500,24.8258766,0.0248258766,0,0,0.9956695367,0
3,back,999,9465,24.82147894,0.02482147894,0,0,0.995658667,1
4,dec,1000,9500,24.82592531,0.02482592531,0,0,0.995658667,0
5,back,999,9465,24.82157758,0.02482157758,0,0,0.995658667,1
6,dec,1000,9500,24.82588354,0.02482588354,0,0,0.995658667,0
7,back,999,9465,24.82153522,0.02482153522,0,0,0.995658667,1
8,dec,1000,9500,24.82589423,0.02482589423,0,0,0.995658667,0
9,back,999,9465,24.82153342,0.02482153342,0,0,0.9956516475,1
10,dec,1000,9500,24.82588935,0.02482588935,0,0,0.9956516475,0
11,back,999,9465,24.82153692,0.02482153692,0,0,0.9956516475,1
12,dec,1000,9500,24.82589658,0.02482589658,0,0,0.9956516475,0
13,back,999,9465,24.8215372,0.0248215372,0,0,0.9956516475,1
14,dec,1000,9500,24.82589679,0.02482589679,0,0,0.9956516475,0
15,back,999,9465,24.82153846,0.02482153846,0,0,0.9956516475,1
16,dec,1000,9500,24.82589709,0.02482589709,0,0,0.9956516475,0
17,dec,999,9465,24.82153776,0.02482153776,0,0,0.9956516475,1
18,back,998,9435,24.80318782,0.02480318782,1,0,0.9817842128,2
19,dec,999,9465,24.82154454,0.02482154454,1,0,0.9817842128,1
20,back,998,9435,24.80321548,0.02480321548,1,0,0.9817779934,2
21,dec,999,9465,24.82155512,0.02482155512,1,0,0.9817779934,1
22,back,998,9435,24.80320986,0.02480320986,1,0,0.9817779934,2
23,dec,999,9465,24.82155752,0.02482155752,1,0,0.9817779934,1
24,back,998,9435,24.80320931,0.02480320931,1,0,0.9817779934,2
25,dec,999,9465,24.82156038,0.02482156038,1,0,0.9817779934,1
26,back,998,9435,24.80320992,0.02480320992,1,0,0.9817779934,2
27,dec,999,9465,24.82156069,0.02482156069,1,0,0.9817779934,1
28,back,998,9435,24.80321001,0.02480321001,1,0,0.9817779934,2
29,dec,999,9465,24.82156012,0.02482156012,1,0,0.9817779934,1
30,back,998,9435,24.80320976,0.02480320976,1,0,0.9817779934,2
31,dec,999,9465,24.82155991,0.02482155991,1,0,0.9817779934,1
32,back,998,9435,24.8032098,0.0248032098,1,0,0.9817779934,2
33,dec,999,9465,24.82155997,0.02482155997,1,0,0.9817779934,1
34,back,998,9435,24.80320979,0.02480320979,1,0,0.9817779934,2
35,dec,999,9465,24.82155997,0.02482155997,1,0,0.9817779934,1
36,dec,998,9435,24.80320977,0.02480320977,1,0,0.9817779934,2
37,back,997,9410,24.77912475,0.02477912475,1,0,0.9763320502,3
38,dec,998,9435,24.80316561,0.02480316561,1,0,0.9763320502,2
39,back,997,9410,24.77911411,0.02477911411,1,0,0.9762584656,3
40,dec,998,9435,24.80317768,0.02480317768,1,0,0.9762584656,2
41,back,997,9410,24.77909333,0.02477909333,1,0,0.976202047,3
42,dec,998,9435,24.80315983,0.02480315983,1,0,0.976202047,2
43,back,997,9410,24.77909181,0.02477909181,1,0,0.9761948604,3
44,dec,998,9435,24.80315893,0.02480315893,1,0,0.9761948604,2
45,back,997,9410,24.77908911,0.02477908911,1,0,0.9761948604,3
46,dec,998,9435,24.80315649,0.02480315649,1,0,0.9761948604,2
47,back,997,9410,24.77908669,0.02477908669,1,0,0.9761948604,3
48,dec,998,9435,24.80315503,0.02480315503,1,0,0.9761948604,2
49,back,997,9410,24.77908524,0.02477908524,1,0,0.9761948604,3
50,dec,998,9435,24.80315414,0.02480315414,1,0,0.9761948604,2
51,back,997,9410,24.77908471,0.02477908471,1,0,0.9761948604,3
52,dec,998,9435,24.80315387,0.02480315387,1,0,0.9761948604,2
53,back,997,9410,24.77908461,0.02477908461,1,0,0.9761948604,3
54,dec,998,9435,24.8031538,0.0248031538,1,0,0.9761948604,2
55,dec,997,9410,24.77908463,0.02477908463,1,0,0.9761948604,3
56,back,996,9382,24.75488205,0.02475488205,1,0,0.9759968818,4
57,dec,997,9410,24.77907937,0.02477907937,1,0,0.9759968818,3
58,back,996,9382,24.75490682,0.02475490682,1,0,0.9759968818,4
59,dec,997,9410,24.7790405,0.0247790405,1,0,0.9759968818,3
60,back,996,9382,24.75487492,0.02475487492,1,0,0.9759968818,4
61,dec,997,9410,24.77901919,0.02477901919,1,0,0.9759968818,3
62,back,996,9382,24.75487806,0.02475487806,1,0,0.9759968818,4
63,dec,997,9410,24.77903581,0.02477903581,1,0,0.9759968818,3
64,back,996,9382,24.75488567,0.02475488567,1,0,0.9759968818,4
65,dec,997,9410,24.77903973,0.02477903973,1,0,0.9759968818,3
66,back,996,9382,24.75488774,0.02475488774,1,0,0.9759968818,4
67,dec,997,9410,24.77904065,0.02477904065,1,0,0.9759968818,3
68,back,996,9382,24.75488838,0.02475488838,1,0,0.9759968818,4
69,dec,997,9410,24.77904086,0.02477904086,1,0,0.9759968818,3
70,back,996,9382,24.75488831,0.02475488831,1,0,0.9759968818,4
71,dec,997,9410,24.77904084,0.02477904084,1,0,0.9759968818,3
72,back,996,9382,24.75488849,0.02475488849,1,0,0.9759968818,4
73,dec,997,9410,24.77904097,0.02477904097,1,0,0.9759968818,3
74,dec,996,9382,24.75488851,0.02475488851,1,0,0.9759968818,4
75,back,995,9359,24.727408,0.024727408,1,0,0.9730490161,5
76,dec,996,9382,24.75492573,0.02475492573,1,0,0.9730490161,4
77,back,995,9359,24.72738695,0.02472738695,1,0,0.9728143802,5
78,dec,996,9382,24.7549388,0.0247549388,1,0,0.9728143802,4
79,back,995,9359,24.72744474,0.02472744474,1,0,0.9727374706,5
80,dec,996,9382,24.75497599,0.02475497599,1,0,0.9727374706,4
81,back,995,9359,24.72746541,0.02472746541,1,0,0.9727374706,5
82,dec,996,9382,24.7549841,0.0247549841,1,0,0.9727374706,4
83,back,995,9359,24.72746877,0.02472746877,1,0,0.9727374706,5
84,dec,996,9382,24.7549825,0.0247549825,1,0,0.9727374706,4
85,back,995,9359,24.72746564,0.02472746564,1,0,0.9727374706,5
86,dec,996,9382,24.75498193,0.02475498193,1,0,0.9727374706,4
87,back,995,9359,24.72746695,0.02472746695,1,0,0.9727374706,5
88,dec,996,9382,24.7549828,0.0247549828,1,0,0.9727374706,4
89,back,995,9359,24.7274672,0.0247274672,1,0,0.9727374706,5
90,dec,996,9382,24.7549828,0.0247549828,1,0,0.9727374706,4
91,back,995,9359,24.72746726,0.02472746726,1,0,0.9727374706,5
92,dec,996,9382,24.75498283,0.02475498283,1,0,0.9727374706,4
93,dec,995,9359,24.72746735,0.02472746735,1,0,0.9727374706,5
94,back,994,9335,24.69538601,0.02469538601,1,0,0.9683464639,6
95,dec,995,9359,24.72733005,0.02472733005,1,0,0.9683464639,5
96,back,994,9335,24.69528837,0.02469528837,1,0,0.9683464639,6
